Word,Exclude?,Occurrences,ClassNum,C_N,Unc_N,Sing_N,Plu_N,GrC_N,GrUnc_N,Attr_N,PostPos_N,Voc_N,Proper_N,Exp_N
quisling,N,5,1,Y,N,N,N,N,N,N,N,N,N,N
roasting,N,5,1,N,N,N,N,N,N,N,N,N,N,Y
spring-cleaning,?,5,1,N,N,Y,N,N,N,N,N,N,N,N
starveling,N,5,1,Y,N,N,N,N,N,N,N,N,N,N
stripling,N,5,1,Y,N,N,N,N,N,N,N,N,N,N
suiting,N,5,1,N,Y,N,N,N,N,N,N,N,N,N
wedding-ring,Y,5,1,Y,N,N,N,N,N,N,N,N,N,N
witch-hunting,?,5,1,N,Y,N,N,N,N,N,N,N,N,N
zoning,N,5,1,N,Y,N,N,N,N,N,N,N,N,N
backbiting,N,4,1,N,Y,N,N,N,N,N,N,N,N,N
beading,N,4,1,Y,Y,N,N,N,N,N,N,N,N,N
blackberrying,N,4,1,N,Y,N,N,N,N,N,N,N,N,N
blacking,N,4,1,N,Y,N,N,N,N,N,N,N,N,N
bragging,N,4,1,N,Y,N,N,N,N,N,N,N,N,N
bullring,N,4,1,Y,N,N,N,N,N,N,N,N,N,N
cockfighting,N,4,1,N,Y,N,N,N,N,N,N,N,N,N
dry-cleaning,?,4,1,N,Y,N,N,N,N,N,N,N,N,N
fellow-feeling,N,4,1,N,Y,Y,N,N,N,N,N,N,N,N
gilding,N,4,1,N,Y,N,N,N,N,N,N,N,N,N
housewarming,N,4,1,Y,N,N,N,N,N,N,N,N,N,N
leavening,N,4,1,Y,Y,N,N,N,N,N,N,N,N,N
leave-taking,N,4,1,Y,N,N,N,N,N,N,N,N,N,N
namedropping,N,4,1,N,Y,N,N,N,N,N,N,N,N,N
race-meeting,N,4,1,Y,N,N,N,N,N,N,N,N,N,N
thickening,N,4,1,N,Y,N,N,N,N,N,N,N,N,N
topping,N,4,1,Y,Y,N,N,N,N,N,N,N,N,N
yearling,Y,4,1,Y,N,N,N,N,N,N,N,N,N,N
baby-sitting,N,3,1,N,Y,N,N,N,N,N,N,N,N,N
beagling,Y,3,1,N,Y,N,N,N,N,N,N,N,N,N
churching,N,3,1,Y,Y,N,N,N,N,N,N,N,N,N
cowling,Y,3,1,Y,N,N,N,N,N,N,N,N,N,N
double-glazing,N,3,1,N,Y,N,N,N,N,N,N,N,N,N
drenching,N,3,1,Y,N,N,N,N,N,N,N,N,N,N
firewatching,N,3,1,N,Y,N,N,N,N,N,N,N,N,N
gunrunning,N,3,1,N,Y,N,N,N,N,N,N,N,N,N
inbreeding,N,3,1,N,Y,N,N,N,N,N,N,N,N,N
key-ring,Y,3,1,Y,N,N,N,N,N,N,N,N,N,N
lapwing,Y,3,1,Y,N,N,N,N,N,N,N,N,N,N
misspelling,N,3,1,Y,Y,N,N,N,N,N,N,N,N,N
pasting,N,3,1,Y,N,N,N,N,N,N,N,N,N,N
peace-offering,N,3,1,Y,N,N,N,N,N,N,N,N,N,N
potholing,N,3,1,N,Y,N,N,N,N,N,N,N,N,N
pricking,N,3,1,Y,N,N,N,N,N,N,N,N,N,N
quartering,N,3,1,N,Y,N,N,N,N,N,N,N,N,N
sealing,N,3,1,N,Y,N,N,N,N,N,N,N,N,N
shadowboxing,N,3,1,N,Y,N,N,N,N,N,N,N,N,N
skin-diving,N,3,1,N,Y,N,N,N,N,N,N,N,N,N
snipping,N,3,1,Y,N,N,N,N,N,N,N,N,N,N
Thanksgiving,Y,3,1,N,N,N,N,N,N,N,N,N,Y,N
time-sharing,N,3,1,N,Y,N,N,N,N,N,N,N,N,N
twinkling,N,3,1,N,N,Y,N,N,N,N,N,N,N,N
underclothing,Y,3,1,N,Y,N,N,N,N,N,N,N,N,N
water-skiing,N,3,1,N,Y,N,N,N,N,N,N,N,N,N
wellspring,N,3,1,Y,N,N,N,N,N,N,N,N,N,N
whacking,N,3,1,Y,N,N,N,N,N,N,N,N,N,N
window-dressing,N,3,1,N,Y,N,N,N,N,N,N,N,N,N
blood-letting,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
bluestocking,N,2,1,Y,N,N,N,N,N,N,N,N,N,N
bookbinding,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
dowsing,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
drubbing,N,2,1,Y,N,N,N,N,N,N,N,N,N,N
foxhunting,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
good-for-nothing,Y,2,1,Y,N,N,N,N,N,Y,N,Y,N,N
G-string,Y,2,1,Y,N,N,N,N,N,N,N,N,N,N
hang-gliding,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
hatching,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
heartburning,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
hurling,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
ice-skating,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
lip-reading,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
mapping,N,2,1,Y,N,N,N,N,N,N,N,N,N,N
minelaying,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
misdoing,N,2,1,Y,N,N,N,N,N,N,N,N,N,N
nursling,Y,2,1,Y,N,N,N,N,N,N,N,N,N,N
oil-painting,N,2,1,Y,Y,N,N,N,N,N,N,N,N,N
penny-pinching,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
prayer-meeting,N,2,1,Y,N,N,N,N,N,N,N,N,N,N
press-cutting,N,2,1,Y,N,N,N,N,N,N,N,N,N,N
pressing,N,2,1,Y,N,N,N,N,N,N,N,N,N,N
punishing,N,2,1,N,N,Y,N,N,N,N,N,N,N,N
rambling,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
redwing,Y,2,1,Y,N,N,N,N,N,N,N,N,N,N
ribbing,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
self-seeking,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
sequencing,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
shortening,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
smacking,N,2,1,Y,N,N,N,N,N,N,N,N,N,N
smocking,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
soul-searching,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
strip-lighting,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
subheading,N,2,1,Y,N,N,N,N,N,N,N,N,N,N
suckling,N,2,1,Y,N,N,N,N,N,N,N,N,N,N
thank-offering,N,2,1,Y,N,N,N,N,N,N,N,N,N,N
ting,Y,2,1,Y,N,N,N,N,N,N,N,N,N,N
trend-setting,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
trouncing,N,2,1,Y,N,N,N,N,N,N,N,N,N,N
wadding,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
weighting,N,2,1,N,Y,Y,N,N,N,N,N,N,N,N
weight-lifting,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
wire-tapping,N,2,1,N,Y,N,N,N,N,N,N,N,N,N
ballooning,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
bricklaying,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
caravanning,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
class-feeling,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
cross-hatching,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
curling,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
dairy-farming,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
darning,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
daylight-saving,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
deer-stalking,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
die-casting,N,1,1,Y,Y,N,N,N,N,N,N,N,N,N
discerning,N,1,1,N,N,N,Y,N,N,N,N,N,N,N
double-spacing,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
dubbing,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
Everlasting,N,1,1,N,N,N,N,N,N,N,N,N,Y,N
face-lifting,N,1,1,Y,N,N,N,N,N,N,N,N,N,N
faultfinding,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
fire-raising,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
forging,N,1,1,Y,N,N,N,N,N,N,N,N,N,N
gliding,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
hairspring,Y,1,1,Y,N,N,N,N,N,N,N,N,N,N
holidaymaking,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
homing,N,1,1,N,Y,N,N,N,N,Y,N,N,N,N
horse-trading,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
ill-breeding,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
inning,N,1,1,Y,N,N,N,N,N,N,N,N,N,N
jerry-building,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
leg-pulling,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
matchmaking,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
moneymaking,N,1,1,N,Y,N,N,N,N,Y,N,N,N,N
mumming,N,1,1,N,N,N,N,N,N,N,N,N,N,Y
nitpicking,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
nosering,Y,1,1,Y,N,N,N,N,N,N,N,N,N,N
paring,N,1,1,Y,N,N,N,N,N,N,N,N,N,N
part-singing,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
penny-farthing,Y,1,1,Y,N,N,N,N,N,N,N,N,N,N
play-reading,N,1,1,Y,Y,N,N,N,N,N,N,N,N,N
plum-pudding,Y,1,1,Y,Y,N,N,N,N,N,N,N,N,N
press-clipping,?,1,1,Y,N,N,N,N,N,N,N,N,N,N
priming,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
racketeering,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
rifling,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
sabre-rattling,N,1,1,N,Y,N,N,N,N,Y,N,N,N,N
sheathing,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
shoemaking,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
show-jumping,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
sizing,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
skydiving,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
skywriting,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
sleepwalking,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
sound-recording,N,1,1,Y,N,N,N,N,N,N,N,N,N,N
square-bashing,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
stiffening,N,1,1,Y,Y,N,N,N,N,N,N,N,N,N
stock-piling,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
stonewalling,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
stopping,N,1,1,Y,Y,N,N,N,N,N,N,N,N,N
straphanging,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
swing-wing,Y,1,1,Y,N,N,N,N,N,N,N,N,N,N
tap-dancing,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
tatting,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
topdressing,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
trapshooting,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
veining,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
whitening,N,1,1,N,Y,N,N,N,N,N,N,N,N,N
wigging,N,1,1,Y,N,N,N,N,N,N,N,N,N,N
wring,Y,1,1,Y,N,N,N,N,N,N,N,N,N,N
action painting,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
ageing,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
air-cooling,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
alms-giving,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
arc welding,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
asking,N,0,1,N,N,N,N,N,N,N,N,N,N,Y
bad feeling,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
belly landing,N,0,1,Y,Y,N,N,N,N,N,N,N,N,N
bias binding,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
bill of lading,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
billposting,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
bird-nesting,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
black pudding,Y,0,1,Y,Y,N,N,N,N,N,N,N,N,N
blood-poisoning,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
boding,N,0,1,Y,Y,N,N,N,N,N,N,N,N,N
bodyline bowling,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
body stocking,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
book learning,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
bowing,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
burnt offering,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
camp meeting,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
carbon dating,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
case ending,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
central heating,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
change ringing,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
cheeseparing,N,0,1,N,Y,N,N,N,N,Y,N,N,N,N
chin-wagging,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
Christmas pudding,Y,0,1,Y,Y,N,N,N,N,N,N,N,N,N
Christmas stocking,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
civil engineering,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
clock-watching,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
clog dancing,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
close thing,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
coaming,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
coconut matting,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
codling,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
collective bargaining,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
college pudding,Y,0,1,Y,Y,N,N,N,N,N,N,N,N,N
community singing,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
cost of living,N,0,1,N,N,Y,N,N,N,N,N,N,N,N
crap-shooting,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
crash-landing,N,0,1,Y,Y,N,N,N,N,N,N,N,N,N
crazy paving,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
crop-dusting,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
crop spraying,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
cross-heading,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
crystal-gazing,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
data processing,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
day of reckoning,N,0,1,Y,N,Y,N,N,N,N,N,N,N,N
day-spring,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
dead reckoning,N,0,1,Y,Y,N,N,N,N,N,N,N,N,N
delta wing,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
diamond wedding,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
double-entry book-keeping,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
dry-walling,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
early closing,N,0,1,N,N,Y,N,N,N,N,N,N,N,N
echo-sounding,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
engagement ring,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
factory farming,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
faith-healing,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
family planning,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
fibbing,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
fingering,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
finger painting,N,0,1,Y,Y,N,N,N,N,N,N,N,N,N
firewalking,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
flat racing,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
fluting,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
food poisoning,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
footslogging,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
forked lightning,Y,0,1,N,Y,N,N,N,N,N,N,N,N,N
French dressing,Y,0,1,N,Y,N,N,N,N,N,N,N,N,N
gas-fitting,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
genre-painting,N,0,1,Y,Y,N,N,N,N,N,N,N,N,N
golden wedding,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
good evening,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
good morning,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
grade crossing,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
hair-splitting,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
heavy petting,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
Highland fling,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
hiking,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
hot spring,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
human being,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
impulse buying,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
ingathering,N,0,1,Y,Y,N,N,N,N,N,N,N,N,N
inpouring,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
junketing,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
kippered herring,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
lamming,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
landscape gardening,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
leading,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
level crossing,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
line drawing,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
line-shooting,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
load-shedding,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
making,N,0,1,N,N,Y,N,N,N,N,N,N,N,N
market-gardening,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
mercy killing,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
milk pudding,Y,0,1,Y,Y,N,N,N,N,N,N,N,N,N
mind reading,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
minesweeping,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
mischief-making,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
mixed farming,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
mourning-ring,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
mudslinging,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
napkin-ring,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
near thing,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
nesting,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
oncoming,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
overmanning,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
pancake landing,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
Panda crossing,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
pease-pudding,Y,0,1,Y,Y,N,N,N,N,N,N,N,N,N
pedestrian crossing,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
physical training,Y,0,1,N,Y,N,N,N,N,N,N,N,N,N
pigsticking,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
pile-dwelling,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
piston ring,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
place setting,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
plain dealing,Y,0,1,N,Y,N,N,N,N,N,N,N,N,N
plain sailing,Y,0,1,N,Y,N,N,N,N,N,N,N,N,N
plane sailing,Y,0,1,N,Y,N,N,N,N,N,N,N,N,N
plastering,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
pole-jumping,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
pony-trekking,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
power steering,Y,0,1,N,Y,N,N,N,N,N,N,N,N,N
Prince Charming,Y,0,1,N,N,N,N,N,N,N,N,N,Y,N
prison-breaking,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
prizefighting,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
prize-ring,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
programmed learning,Y,0,1,N,Y,N,N,N,N,N,N,N,N,N
protective colouring,Y,0,1,N,Y,N,N,N,N,N,N,N,N,N
pruning,N,0,1,N,N,N,N,N,N,Y,N,N,N,N
pyramid selling,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
rehearing,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
Revival of Learning,N,0,1,N,N,Y,N,N,N,N,N,N,N,N
rice pudding,Y,0,1,Y,Y,N,N,N,N,N,N,N,N,N
roly-poly pudding,Y,0,1,Y,Y,N,N,N,N,N,N,N,N,N
salad-dressing,Y,0,1,Y,Y,N,N,N,N,N,N,N,N,N
scandalmongering,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
scantling,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
schoolmastering,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
sea-bathing,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
Second Coming,N,0,1,N,N,N,N,N,N,N,N,N,Y,N
sheet-lightning,Y,0,1,N,Y,N,N,N,N,N,N,N,N,N
shellacking,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
shirring,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
shirting,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
sight-reading,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
signet-ring,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
silver wedding,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
single-spacing,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
skeet shooting,Y,0,1,N,Y,N,N,N,N,N,N,N,N,N
skyjacking,N,0,1,Y,Y,N,N,N,N,N,N,N,N,N
slating,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
soft landing,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
special pleading,Y,0,1,N,Y,N,N,N,N,N,N,N,N,N
split ring,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
stabling,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
standard of living,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
stargazing,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
strikebreaking,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
Supreme Being,Y,0,1,N,N,N,N,N,N,N,N,N,Y,N
sure thing,Y,0,1,N,N,Y,N,N,N,N,N,N,N,N
surf-riding,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
swashbuckling,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
sweetening,N,0,1,Y,Y,N,N,N,N,N,N,N,N,N
table-lifting,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
table-rapping,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
table-turning,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
tanning,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
tenpin bowling,Y,0,1,N,Y,N,N,N,N,N,N,N,N,N
timeserving,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
tingaling,N,0,1,Y,N,N,N,N,N,N,N,N,N,N
to-ing and fro-ing,N,0,1,Y,Y,N,N,N,N,N,N,N,N,N
ugly duckling,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
wash-drawing,N,0,1,Y,Y,N,N,N,N,N,N,N,N,N
weather-boarding,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
whiting,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
window shopping,Y,0,1,N,Y,N,N,N,N,N,N,N,N,N
winebibbing,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
wire netting,Y,0,1,N,Y,N,N,N,N,N,N,N,N,N
wishful thinking,Y,0,1,N,Y,N,N,N,N,N,N,N,N,N
woolgathering,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
word-splitting,N,0,1,N,Y,N,N,N,N,N,N,N,N,N
Yorkshire pudding,Y,0,1,Y,Y,N,N,N,N,N,N,N,N,N
zebra crossing,Y,0,1,Y,N,N,N,N,N,N,N,N,N,N
