Word,Exclude?,Occurrences,ClassNum,C_N,Unc_N,Sing_N,Plu_N,GrC_N,GrUnc_N,Attr_N,PostPos_N,Voc_N,Proper_N,Exp_N
gambling,N,146,1,N,Y,N,N,N,N,N,N,N,N,N
Irving,Y,146,1,N,N,N,N,N,N,N,N,N,Y,N
borrowing,N,145,1,Y,Y,N,N,N,N,N,N,N,N,N
serving,N,145,1,Y,Y,N,N,N,N,N,N,N,N,N
wellbeing,N,145,1,N,Y,N,N,N,N,N,N,N,N,N
banking,N,143,1,N,Y,N,N,N,N,N,N,N,N,N
misunderstanding,N,139,1,Y,Y,N,N,N,N,N,N,N,N,N
washing,N,138,1,N,Y,N,N,N,N,N,N,N,N,N
ending,N,137,1,Y,N,N,N,N,N,N,N,N,N,N
standing,N,137,1,N,Y,N,N,N,N,N,N,N,N,N
beating,N,136,1,Y,Y,N,N,N,N,N,N,N,N,N
reasoning,N,135,1,N,Y,N,N,N,N,N,N,N,N,N
herring,Y,132,1,Y,Y,N,N,N,N,N,N,N,N,N
bearing,N,131,1,Y,Y,Y,N,N,N,N,N,N,N,N
angling,N,128,1,N,Y,N,N,N,N,N,N,N,N,N
casting,N,127,1,Y,Y,N,N,N,N,N,N,N,N,N
parting,N,127,1,Y,Y,N,N,N,N,N,N,N,N,N
sterling,Y,121,1,N,Y,N,N,N,N,N,Y,N,N,N
carving,N,120,1,Y,Y,N,N,N,N,N,N,N,N,N
sitting,N,118,1,Y,N,N,N,N,N,N,N,N,N,N
briefing,N,117,1,Y,Y,N,N,N,N,N,N,N,N,N
backing,N,116,1,Y,Y,N,N,N,N,N,N,N,N,N
dealing,N,115,1,Y,Y,N,N,N,N,N,N,N,N,N
bowling,N,114,1,N,Y,N,N,N,N,N,N,N,N,N
swelling,N,113,1,Y,Y,N,N,N,N,N,N,N,N,N
Peking,Y,112,1,N,N,N,N,N,N,N,N,N,Y,N
cunning,N,111,1,N,Y,N,N,N,N,N,N,N,N,N
liking,N,111,1,N,N,Y,N,N,N,N,N,N,N,N
outing,N,109,1,Y,N,N,N,N,N,N,N,N,N,N
visiting,N,109,1,N,Y,N,N,N,N,N,N,N,N,N
swimming,N,108,1,N,Y,N,N,N,N,N,N,N,N,N
keeping,N,107,1,N,Y,N,N,N,N,N,N,N,N,N
railing,N,107,1,Y,Y,N,N,N,N,N,N,N,N,N
riding,N,106,1,Y,Y,Y,N,N,N,N,N,N,N,N
saying,N,106,1,Y,N,N,N,N,N,N,N,N,N,N
fitting,N,104,1,Y,N,N,N,N,N,N,N,N,N,N
rating,N,103,1,Y,Y,N,N,N,N,N,N,N,N,N
showing,N,103,1,Y,N,Y,N,N,N,N,N,N,N,N
travelling,N,103,1,N,Y,N,N,N,N,N,N,N,N,N
handwriting,Y,100,1,N,Y,Y,N,N,N,N,N,N,N,N
heading,N,100,1,Y,N,N,N,N,N,N,N,N,N,N
hanging,N,99,1,Y,Y,N,N,N,N,N,N,N,N,N
gardening,N,96,1,N,Y,N,N,N,N,N,N,N,N,N
ruling,N,95,1,Y,N,N,N,N,N,N,N,N,N,N
filling,N,94,1,Y,Y,N,N,N,N,N,N,N,N,N
calling,N,91,1,Y,N,N,N,N,N,N,N,N,N,N
mourning,N,91,1,N,Y,N,N,N,N,N,N,N,N,N
upbringing,Y,91,1,N,N,Y,N,N,N,N,N,N,N,N
camping,N,89,1,N,Y,N,N,N,N,N,N,N,N,N
undertaking,N,89,1,Y,N,N,N,N,N,N,N,N,N,N
bathing,N,88,1,N,Y,N,N,N,N,N,N,N,N,N
packing,N,86,1,N,Y,N,N,N,N,N,N,N,N,N
covering,N,85,1,Y,Y,N,N,N,N,N,N,N,N,N
flying,N,85,1,N,Y,N,N,N,N,N,N,N,N,N
shouting,N,84,1,N,Y,N,N,N,N,N,N,N,N,N
sailing,N,83,1,Y,Y,N,N,N,N,N,N,N,N,N
marking,N,82,1,Y,Y,N,N,N,N,N,N,N,N,N
uprising,N,81,1,Y,N,N,N,N,N,N,N,N,N,N
colouring,N,76,1,N,Y,N,N,N,N,N,N,N,N,N
engraving,N,76,1,Y,Y,N,N,N,N,N,N,N,N,N
happening,N,75,1,Y,N,N,N,N,N,N,N,N,N,N
lining,N,75,1,Y,Y,N,N,N,N,N,N,N,N,N
plumbing,N,75,1,N,Y,N,N,N,N,N,N,N,N,N
working,N,75,1,Y,N,N,N,N,N,N,N,N,N,N
shipbuilding,?,74,1,N,Y,N,N,N,N,N,N,N,N,N
sewing,N,73,1,N,Y,N,N,N,N,N,N,N,N,N
sting,N,73,1,Y,Y,N,N,N,N,N,N,N,N,N
boxing,N,71,1,N,Y,N,N,N,N,N,N,N,N,N
misgiving,N,71,1,Y,Y,N,N,N,N,N,N,N,N,N
