Word,Exclude?,Occurrences
double-dealing,N,7
dressmaking,N,7
flooring,N,7
frosting,N,7
hireling,N,7
lading,N,7
lemming,N,7
tracing,N,7
belting,N,6
coaxing,N,6
coping,N,6
flag-waving,N,6
gloaming,Y,6
lagging,N,6
merrymaking,N,6
paling,N,6
ticking,N,6
wheeling,N,6
fly-fishing,N,5
gas-ring,Y,5
lady-in-waiting,Y,5
muckraking,N,5
quisling,N,5
roasting,N,5
spring-cleaning,N,5
starveling,N,5
stripling,N,5
suiting,N,5
wedding-ring,Y,5
witch-hunting,N,5
zoning,N,5
backbiting,N,4
beading,N,4
blackberrying,N,4
blacking,N,4
bragging,N,4
bullring,Y,4
cockfighting,N,4
dry-cleaning,N,4
fellow-feeling,N,4
gilding,N,4
housewarming,N,4
leavening,N,4
leave-taking,N,4
namedropping,N,4
race-meeting,N,4
thickening,N,4
topping,N,4
yearling,Y,4
baby-sitting,N,3
beagling,Y,3
churching,N,3
cowling,Y,3
double-glazing,N,3
drenching,N,3
firewatching,N,3
gunrunning,N,3
inbreeding,N,3
key-ring,Y,3
lapwing,Y,3
misspelling,N,3
pasting,N,3
peace-offering,N,3
potholing,N,3
pricking,N,3
quartering,N,3
sealing,N,3
shadowboxing,N,3
skin-diving,N,3
snipping,N,3
Thanksgiving,Y,3
time-sharing,N,3
twinkling,N,3
underclothing,Y,3
water-skiing,N,3
wellspring,N,3
whacking,N,3
window-dressing,N,3
blood-letting,N,2
bluestocking,N,2
bookbinding,N,2
dowsing,N,2
drubbing,N,2
foxhunting,N,2
good-for-nothing,Y,2
G-string,Y,2
hang-gliding,N,2
hatching,N,2
heartburning,N,2
hurling,N,2
ice-skating,N,2
lip-reading,N,2
mapping,N,2
minelaying,N,2
misdoing,N,2
nursling,Y,2
oil-painting,R,2
penny-pinching,N,2
prayer-meeting,N,2
press-cutting,N,2
pressing,N,2
punishing,N,2
rambling,N,2
redwing,Y,2
ribbing,N,2
self-seeking,R,2
sequencing,N,2
shortening,N,2
smacking,N,2
smocking,N,2
soul-searching,N,2
strip-lighting,N,2
subheading,N,2
suckling,N,2
thank-offering,N,2
ting,Y,2
trend-setting,N,2
trouncing,N,2
wadding,N,2
weighting,N,2
weight-lifting,N,2
wire-tapping,N,2
ballooning,N,1
bricklaying,N,1
caravanning,N,1
class-feeling,N,1
cross-hatching,N,1
curling,N,1
dairy-farming,N,1
darning,N,1
daylight-saving,N,1
deer-stalking,N,1
die-casting,N,1
discerning,N,1
double-spacing,N,1
dubbing,N,1
Everlasting,N,1
face-lifting,N,1
faultfinding,N,1
fire-raising,N,1
forging,N,1
gliding,N,1
hairspring,Y,1
holidaymaking,N,1
homing,N,1
horse-trading,N,1
ill-breeding,N,1
inning,N,1
jerry-building,N,1
leg-pulling,N,1
matchmaking,N,1
moneymaking,N,1
mumming,N,1
nitpicking,N,1
nosering,Y,1
paring,N,1
part-singing,N,1
penny-farthing,Y,1
play-reading,N,1
plum-pudding,Y,1
press-clipping,N,1
priming,N,1
racketeering,N,1
rifling,N,1
sabre-rattling,N,1
sheathing,N,1
shoemaking,N,1
show-jumping,N,1
sizing,N,1
skydiving,N,1
skywriting,N,1
sleepwalking,N,1
sound-recording,N,1
square-bashing,N,1
stiffening,N,1
stock-piling,N,1
stonewalling,N,1
stopping,N,1
straphanging,N,1
swing-wing,Y,1
tap-dancing,N,1
tatting,N,1
topdressing,N,1
trapshooting,N,1
veining,N,1
whitening,N,1
wigging,N,1
wring,Y,1
action painting,N,0
ageing,N,0
air-cooling,N,0
alms-giving,N,0
arc welding,N,0
asking,N,0
bad feeling,N,0
belly landing,N,0
bias binding,N,0
bill of lading,N,0
billposting,N,0
bird-nesting,N,0
black pudding,Y,0
blood-poisoning,N,0
boding,N,0
bodyline bowling,N,0
body stocking,N,0
book learning,N,0
bowing,N,0
burnt offering,N,0
camp meeting,N,0
carbon dating,N,0
case ending,N,0
central heating,N,0
change ringing,N,0
cheeseparing,N,0
chin-wagging,N,0
Christmas pudding,Y,0
Christmas stocking,Y,0
civil engineering,N,0
clock-watching,N,0
clog dancing,N,0
close thing,Y,0
coaming,N,0
coconut matting,N,0
codling,Y,0
collective bargaining,N,0
college pudding,Y,0
community singing,N,0
cost of living,N,0
crap-shooting,N,0
crash-landing,N,0
crazy paving,N,0
crop-dusting,N,0
crop spraying,N,0
cross-heading,N,0
crystal-gazing,N,0
data processing,N,0
day of reckoning,N,0
day-spring,Y,0
dead reckoning,N,0
delta wing,Y,0
diamond wedding,Y,0
double-entry book-keeping,N,0
dry-walling,N,0
early closing,N,0
echo-sounding,N,0
engagement ring,Y,0
factory farming,N,0
faith-healing,N,0
family planning,N,0
fibbing,N,0
fingering,N,0
finger painting,N,0
firewalking,N,0
flat racing,N,0
fluting,N,0
food poisoning,N,0
footslogging,N,0
forked lightning,Y,0
French dressing,Y,0
gas-fitting,N,0
genre-painting,Y,0
golden wedding,Y,0
good evening,Y,0
good morning,Y,0
grade crossing,N,0
hair-splitting,N,0
heavy petting,N,0
Highland fling,Y,0
hiking,N,0
hot spring,Y,0
human being,N,0
impulse buying,N,0
ingathering,N,0
inpouring,N,0
junketing,N,0
kippered herring,Y,0
lamming,N,0
landscape gardening,N,0
leading,N,0
level crossing,N,0
line drawing,N,0
line-shooting,N,0
load-shedding,N,0
making,N,0
market-gardening,N,0
mercy killing,N,0
milk pudding,Y,0
mind reading,N,0
minesweeping,N,0
mischief-making,N,0
mixed farming,N,0
mourning-ring,Y,0
mudslinging,N,0
napkin-ring,Y,0
near thing,Y,0
nesting,N,0
oncoming,N,0
overmanning,N,0
pancake landing,Y,0
Panda crossing,Y,0
pease-pudding,Y,0
pedestrian crossing,Y,0
physical training,Y,0
pigsticking,N,0
pile-dwelling,N,0
piston ring,Y,0
place setting,Y,0
plain dealing,Y,0
plain sailing,Y,0
plane sailing,Y,0
plastering,N,0
pole-jumping,N,0
pony-trekking,N,0
power steering,Y,0
Prince Charming,Y,0
prison-breaking,N,0
prizefighting,N,0
prize-ring,Y,0
programmed learning,Y,0
protective colouring,Y,0
pruning,N,0
pyramid selling,N,0
rehearing,N,0
Revival of Learning,N,0
rice pudding,Y,0
roly-poly pudding,Y,0
salad-dressing,Y,0
scandalmongering,N,0
scantling,N,0
schoolmastering,N,0
sea-bathing,N,0
Second Coming,N,0
sheet-lightning,Y,0
shellacking,N,0
shirring,N,0
shirting,N,0
sight-reading,N,0
signet-ring,Y,0
silver wedding,N,0
single-spacing,N,0
skeet shooting,Y,0
skyjacking,N,0
slating,N,0
soft landing,N,0
special pleading,Y,0
split ring,Y,0
stabling,N,0
standard of living,Y,0
stargazing,N,0
strikebreaking,N,0
Supreme Being,Y,0
sure thing,Y,0
surf-riding,N,0
swashbuckling,N,0
sweetening,N,0
table-lifting,N,0
table-rapping,N,0
table-turning,N,0
tanning,N,0
tenpin bowling,Y,0
timeserving,N,0
tingaling,Y,0
to-ing and fro-ing,N,0
ugly duckling,Y,0
wash-drawing,N,0
weather-boarding,N,0
whiting,N,0
window shopping,Y,0
winebibbing,N,0
wire netting,Y,0
wishful thinking,Y,0
woolgathering,N,0
word-splitting,N,0
Yorkshire pudding,Y,0
zebra crossing,Y,0
